model,variant,n_features,train_rows,valid_rows,weather,google_trends,unemployment,holidays,promo_weather,lags,rmspe,mae,r2,elapsed_seconds
linear_regression,weather__unemployment__holidays__lags,52,785781,58611,True,False,True,True,False,True,0.20259785266356087,1012.2507028816804,0.7656799662000524,1.3166013000300154
linear_regression,weather__holidays__lags,51,785781,58611,True,False,False,True,False,True,0.20293768675569332,1011.80898700385,0.7662050940893019,1.2624373000580817
linear_regression,weather__unemployment__holidays__promo_weather__lags,55,785781,58611,True,False,True,True,True,True,0.2034274230780762,1015.8972480776058,0.7643076623748846,1.4380619000876322
linear_regression,weather__holidays__promo_weather__lags,54,785781,58611,True,False,False,True,True,True,0.2037531884307089,1015.5048455952176,0.7647943082550638,1.3977764999726787
linear_regression,weather__unemployment__lags,49,785781,58611,True,False,True,False,False,True,0.20404578323410305,1009.5690465789293,0.7664337802463739,1.1373777999542654
linear_regression,weather__lags,48,785781,58611,True,False,False,False,False,True,0.20414335167418135,1009.555756949602,0.7665320434934867,1.075772100011818
linear_regression,weather__unemployment__promo_weather__lags,52,785781,58611,True,False,True,False,True,True,0.20482873513351169,1013.1920065317194,0.7652154339298148,1.349905199953355
linear_regression,weather__promo_weather__lags,51,785781,58611,True,False,False,False,True,True,0.2048953185878556,1013.1852226641378,0.7652811908989103,1.3448570999316871
linear_regression,weather__google_trends__unemployment__holidays__lags,53,785781,58611,True,True,True,True,False,True,0.20737854157346933,1012.5383886089484,0.766836082507016,1.4124591000145301
linear_regression,weather__google_trends__holidays__lags,52,785781,58611,True,True,False,True,False,True,0.20771171712627515,1012.0650242649241,0.7673469273580777,1.332182899932377
linear_regression,weather__google_trends__unemployment__holidays__promo_weather__lags,56,785781,58611,True,True,True,True,True,True,0.20815878626196044,1016.2192225768367,0.7654944728919592,1.470936800003983
linear_regression,weather__google_trends__holidays__promo_weather__lags,55,785781,58611,True,True,False,True,True,True,0.20847636808084616,1015.7967199268862,0.7659675014123455,1.4576898999512196
linear_regression,weather__google_trends__unemployment__lags,50,785781,58611,True,True,True,False,False,True,0.20870381109866393,1009.6905157721776,0.7675816157875114,1.2469911999069154
linear_regression,weather__google_trends__lags,49,785781,58611,True,True,False,False,False,True,0.20879051219817796,1009.6721599133842,0.7676684040616509,1.0825847999658436
linear_regression,weather__google_trends__unemployment__promo_weather__lags,53,785781,58611,True,True,True,False,True,True,0.2094352744800483,1013.359999862358,0.7663963059735691,1.4602715000510216
linear_regression,weather__google_trends__promo_weather__lags,52,785781,58611,True,True,False,False,True,True,0.20949089187812636,1013.3504714853553,0.7664510947427439,1.3415411000605673
linear_regression,unemployment__holidays__lags,43,785781,58611,False,False,True,True,False,True,0.2123577849301691,1029.802816200708,0.7657638601083934,0.9663960000034422
linear_regression,holidays__lags,42,785781,58611,False,False,False,True,False,True,0.21355089065651217,1031.6419100108692,0.7659488571923689,0.9325096999527887
linear_regression,unemployment__lags,40,785781,58611,False,False,True,False,False,True,0.21532770355780662,1033.0041561009011,0.7651303258881922,0.8765450000064448
linear_regression,lags,39,785781,58611,False,False,False,False,False,True,0.21600380401660355,1034.2936240065735,0.7651279819483027,0.8141265000449494
linear_regression,google_trends__unemployment__holidays__lags,44,785781,58611,False,True,True,True,False,True,0.21664275547066617,1029.3114179487636,0.7670622507121918,0.9846677999012172
linear_regression,google_trends__holidays__lags,43,785781,58611,False,True,False,True,False,True,0.21781650083315396,1031.0830394429609,0.7672424188185751,0.9038944999920204
linear_regression,google_trends__unemployment__lags,41,785781,58611,False,True,True,False,False,True,0.21949779357584223,1032.4298731024592,0.766400675181843,0.8512462000362575
linear_regression,google_trends__lags,40,785781,58611,False,True,False,False,False,True,0.2201554802466186,1033.674477572192,0.7663961979180689,0.8320302000502124
linear_regression,weather__holidays,48,785781,58611,True,False,False,True,False,False,0.4302177275793575,1914.1380046663517,0.27136905186410454,1.106353700044565
linear_regression,weather__google_trends__holidays,49,785781,58611,True,True,False,True,False,False,0.43117651948047814,1914.2760493279457,0.2718701357304366,1.1564897999633104
linear_regression,weather__holidays__promo_weather,51,785781,58611,True,False,False,True,True,False,0.4319326850212752,1916.2574840174814,0.27002138516557894,1.3114433999871835
linear_regression,weather__google_trends__holidays__promo_weather,52,785781,58611,True,True,False,True,True,False,0.4328458498747092,1916.3598885977224,0.2705338011929289,1.2983431000029668
linear_regression,weather,45,785781,58611,True,False,False,False,False,False,0.43835050724417485,1922.9005144456044,0.27167987875718713,1.035175499971956
linear_regression,weather__google_trends,46,785781,58611,True,True,False,False,False,False,0.43926134951086704,1923.0040848178744,0.2721689346213053,1.061841299990192
linear_regression,weather__unemployment__holidays,49,785781,58611,True,False,True,True,False,False,0.4393499478609586,1925.1462505423183,0.27164221865911553,1.1729003000073135
linear_regression,weather__promo_weather,48,785781,58611,True,False,False,False,True,False,0.4399531942904683,1924.975405939567,0.27040087824700765,1.0803269000025466
linear_regression,weather__google_trends__unemployment__holidays,50,785781,58611,True,True,True,True,False,False,0.4403229942206322,1925.2756804935857,0.27213944480867014,1.2487759999930859
linear_regression,weather__google_trends__promo_weather,49,785781,58611,True,True,False,False,True,False,0.44081885060218523,1925.0440623245713,0.270902400223915,1.133762100012973
linear_regression,weather__unemployment__holidays__promo_weather,52,785781,58611,True,False,True,True,True,False,0.4412278936270769,1927.515794124235,0.27032415577027824,1.339251699973829
linear_regression,weather__google_trends__unemployment__holidays__promo_weather,53,785781,58611,True,True,True,True,True,False,0.44215341639904393,1927.6095321560588,0.2708332774990706,1.4106214999919757
linear_regression,weather__unemployment,46,785781,58611,True,False,True,False,False,False,0.44992551183651763,1939.4196216342987,0.2701590726964087,1.0221236000070348
linear_regression,weather__google_trends__unemployment,47,785781,58611,True,True,True,False,False,False,0.4508543006877615,1939.5096173224294,0.2706373153200624,1.098713600076735
linear_regression,weather__unemployment__promo_weather,49,785781,58611,True,False,True,False,True,False,0.4516890742679499,1941.711179141869,0.26889817739281896,1.1280449000187218
linear_regression,weather__google_trends__unemployment__promo_weather,50,785781,58611,True,True,True,False,True,False,0.4525706494678396,1941.7613478457479,0.26938953660019416,1.298637600033544
linear_regression,holidays,39,785781,58611,False,False,False,True,False,False,0.4616779064558391,1951.6629747030363,0.2705510222308779,0.809755599941127
linear_regression,google_trends__holidays,40,785781,58611,False,True,False,True,False,False,0.46254467839947117,1951.6237878158736,0.2710815884905786,0.8770829000277445
linear_regression,unemployment__holidays,40,785781,58611,False,False,True,True,False,False,0.4713110804317754,1969.1179445858588,0.26662516679133064,0.8161743000382558
linear_regression,base,36,785781,58611,False,False,False,False,False,False,0.4717442322412775,1968.0967626234817,0.2671601563411441,0.7480726999929175
linear_regression,google_trends__unemployment__holidays,41,785781,58611,False,True,True,True,False,False,0.4721846972009097,1969.0833862154063,0.2671444980809744,0.8488832999719307
linear_regression,google_trends,37,785781,58611,False,True,False,False,False,False,0.4725679885454534,1968.05530096503,0.2676585149606894,0.7428684999467805
linear_regression,unemployment,37,785781,58611,False,False,True,False,False,False,0.4842067448360427,1993.0758441116468,0.2602581267309598,0.7904245000099763
linear_regression,google_trends__unemployment,38,785781,58611,False,True,True,False,False,False,0.4850413638774115,1993.0677887368847,0.26073730337108303,0.7951393000548705
random_forest,weather__holidays__lags,51,785781,58611,True,False,False,True,False,True,0.1428955375317971,682.8379399490933,0.8985608821587667,130.05288430000655
random_forest,weather__google_trends__holidays__lags,52,785781,58611,True,True,False,True,False,True,0.1432428383631463,683.2955988590718,0.8983443786916885,122.59587900002953
random_forest,holidays__lags,42,785781,58611,False,False,False,True,False,True,0.143338243151969,687.4023175859846,0.8969758346376251,85.81834019999951
random_forest,google_trends__holidays__lags,43,785781,58611,False,True,False,True,False,True,0.1434875758735093,687.4400931989317,0.8969433859070489,87.79378389997873
random_forest,weather__unemployment__holidays__lags,52,785781,58611,True,False,True,True,False,True,0.1435657769003168,686.5572566052281,0.8974171327832273,127.24385189998428
random_forest,weather__google_trends__unemployment__holidays__lags,53,785781,58611,True,True,True,True,False,True,0.1437796781897968,686.7714854788195,0.8974738023433605,124.1447803999763
random_forest,unemployment__holidays__lags,43,785781,58611,False,False,True,True,False,True,0.1437913706194589,689.6685177329529,0.8968769263956072,92.73700369999278
random_forest,weather__google_trends__holidays__promo_weather__lags,55,785781,58611,True,True,False,True,True,True,0.1439239139749411,683.1786214823613,0.8983120253468483,131.3238177000312
random_forest,weather__holidays__promo_weather__lags,54,785781,58611,True,False,False,True,True,True,0.1439543438579806,683.6400097326721,0.8981194569090375,128.16976850002538
random_forest,google_trends__unemployment__holidays__lags,44,785781,58611,False,True,True,True,False,True,0.1440137469942679,689.8665055528472,0.8968655558902351,98.80839070002548
random_forest,weather__lags,48,785781,58611,True,False,False,False,False,True,0.1445257545948053,692.6077609215598,0.8964032995167639,129.98890650004614
random_forest,weather__unemployment__holidays__promo_weather__lags,55,785781,58611,True,False,True,True,True,True,0.1445867586927914,687.4320618265261,0.8971054306449229,131.16562900005374
random_forest,weather__google_trends__lags,49,785781,58611,True,True,False,False,False,True,0.1445956748650689,692.717819349912,0.8964449714271119,126.808848900022
random_forest,weather__google_trends__unemployment__holidays__promo_weather__lags,56,785781,58611,True,True,True,True,True,True,0.1447074569743767,687.1944886115107,0.8972102687728195,129.19525710004382
random_forest,weather__google_trends__promo_weather__lags,52,785781,58611,True,True,False,False,True,True,0.1454151691712724,693.5558570409396,0.896077071036137,125.3049955999013
random_forest,weather__promo_weather__lags,51,785781,58611,True,False,False,False,True,True,0.1456184708273635,693.3906925110774,0.8960409896227688,144.45216159999836
random_forest,weather__unemployment__lags,49,785781,58611,True,False,True,False,False,True,0.1459396301204467,698.9340284184696,0.8947591029618828,119.9512614000123
random_forest,weather__google_trends__unemployment__lags,50,785781,58611,True,True,True,False,False,True,0.1460094105204314,698.5888069278226,0.8949358923904864,126.9580483000027
random_forest,lags,39,785781,58611,False,False,False,False,False,True,0.146125561902107,702.8339572715604,0.893444488234692,84.84845139994286
random_forest,google_trends__lags,40,785781,58611,False,True,False,False,False,True,0.146204342574164,702.8040858688703,0.8936022052675523,89.49068619997706
random_forest,weather__unemployment__promo_weather__lags,52,785781,58611,True,False,True,False,True,True,0.1468244594217896,699.4017791143817,0.8945351348720427,138.48429130006116
random_forest,weather__google_trends__unemployment__promo_weather__lags,53,785781,58611,True,True,True,False,True,True,0.1469778298656691,699.4841537388903,0.8945314932374903,133.18994210008532
random_forest,unemployment__lags,40,785781,58611,False,False,True,False,False,True,0.1472287498298434,708.2052709731423,0.8926361242950406,86.26807170000393
random_forest,google_trends__unemployment__lags,41,785781,58611,False,True,True,False,False,True,0.1473839295492425,708.3447660403805,0.8925399579456642,94.23874109995086
random_forest,weather__promo_weather,48,785781,58611,True,False,False,False,True,False,0.2498554755784374,1153.151371147991,0.7170108628499954,76.8805101000471
random_forest,weather,45,785781,58611,True,False,False,False,False,False,0.2498893839434431,1153.1061936918093,0.7170252629754059,78.80665629997384
random_forest,weather__google_trends,46,785781,58611,True,True,False,False,False,False,0.2499005654868923,1153.3266923343076,0.7169641232224198,81.31532210006844
random_forest,weather__google_trends__promo_weather,49,785781,58611,True,True,False,False,True,False,0.250029034925696,1153.385705377928,0.7169000153732057,72.73457930004224
random_forest,base,36,785781,58611,False,False,False,False,False,False,0.2503623461973245,1144.619525847201,0.7222501044120382,44.32327150006313
random_forest,google_trends,37,785781,58611,False,True,False,False,False,False,0.2505490659790751,1144.98024694853,0.7222455688499543,44.70471580000594
random_forest,holidays,39,785781,58611,False,False,False,True,False,False,0.25583332743907,1175.339060685925,0.7096876360066239,41.64245710009709
random_forest,google_trends__holidays,40,785781,58611,False,True,False,True,False,False,0.2558563217650247,1175.957048343614,0.7094116443780911,48.254724099999294
random_forest,weather__google_trends__holidays__promo_weather,52,785781,58611,True,True,False,True,True,False,0.2559417300867009,1183.5696069222788,0.7054447586252801,76.43617419991642
random_forest,weather__holidays,48,785781,58611,True,False,False,True,False,False,0.2559503177497562,1183.5926288170197,0.7054560006169759,72.23991310002748
random_forest,weather__holidays__promo_weather,51,785781,58611,True,False,False,True,True,False,0.2559522035026262,1183.6626817128997,0.7053708482504146,77.56495489994995
random_forest,weather__google_trends__holidays,49,785781,58611,True,True,False,True,False,False,0.2559666126945895,1183.857480605294,0.7052611800224988,72.28682130004745
random_forest,weather__unemployment__holidays__promo_weather,52,785781,58611,True,False,True,True,True,False,0.2563703460266245,1181.8153207521636,0.7061923759906819,74.39500120002776
random_forest,google_trends__unemployment__holidays,41,785781,58611,False,True,True,True,False,False,0.2563817708225867,1174.7436705516702,0.7100046973210873,48.63324280001689
random_forest,unemployment__holidays,40,785781,58611,False,False,True,True,False,False,0.2563870162361283,1174.795666539905,0.7099354519049712,47.43351029988844
random_forest,weather__unemployment__holidays,49,785781,58611,True,False,True,True,False,False,0.2563906014723384,1182.0727752223916,0.7060635004159274,83.33601010008715
random_forest,weather__google_trends__unemployment__holidays,50,785781,58611,True,True,True,True,False,False,0.2563965050103995,1181.9394698446154,0.7061200426961685,76.79175949993078
random_forest,weather__google_trends__unemployment__holidays__promo_weather,53,785781,58611,True,True,True,True,True,False,0.2564011559568738,1181.9143221486754,0.7061449725046717,80.20237269997597
random_forest,unemployment,37,785781,58611,False,False,True,False,False,False,0.264439310304642,1161.2172623894762,0.7168801670072202,43.17357580002863
random_forest,google_trends__unemployment,38,785781,58611,False,True,True,False,False,False,0.2644955157803686,1161.088753427199,0.7171645249762982,44.74559659999795
random_forest,weather__unemployment__promo_weather,49,785781,58611,True,False,True,False,True,False,0.2645813385621648,1169.3978443837948,0.7118137074449853,76.66892800002825
random_forest,weather__unemployment,46,785781,58611,True,False,True,False,False,False,0.2646146693429976,1169.154125315627,0.7119684389786605,73.87695559998974
random_forest,weather__google_trends__unemployment__promo_weather,50,785781,58611,True,True,True,False,True,False,0.264634858531671,1169.3829206466482,0.7118844080189239,80.04900699993595
random_forest,weather__google_trends__unemployment,47,785781,58611,True,True,True,False,False,False,0.2647224247878995,1169.5636295883226,0.7117382997964132,81.97975989989936
xgboost,holidays__lags,42,785781,58611,False,False,False,True,False,True,0.1438627906428028,697.5992858225976,0.8988229978172899,14.95941320003476
xgboost,lags,39,785781,58611,False,False,False,False,False,True,0.1445236564515947,683.917911706377,0.9024245090594012,21.16256939992309
xgboost,google_trends__lags,40,785781,58611,False,True,False,False,False,True,0.1470323496568193,704.8146421672626,0.8975914686223149,18.10522749996744
xgboost,weather__unemployment__lags,49,785781,58611,True,False,True,False,False,True,0.1474920637349248,721.8574683056016,0.8895750806986857,18.91177670005709
xgboost,weather__google_trends__lags,49,785781,58611,True,True,False,False,False,True,0.1481265177622727,728.1819476299303,0.8886853057921594,18.631087900022976
xgboost,google_trends__holidays__lags,43,785781,58611,False,True,False,True,False,True,0.1487813525622056,732.7514099786523,0.8892096619969206,11.657324999920093
xgboost,google_trends__unemployment__lags,41,785781,58611,False,True,True,False,False,True,0.1490325085849403,715.5776002867673,0.8944247954872699,18.519672899972647
xgboost,weather__promo_weather__lags,51,785781,58611,True,False,False,False,True,True,0.1502213635273315,727.3377236960189,0.8890041877403678,24.256388000096194
xgboost,weather__google_trends__unemployment__promo_weather__lags,53,785781,58611,True,True,True,False,True,True,0.1506879678411506,723.5181031371031,0.8897156245365893,23.06935349991545
xgboost,weather__unemployment__holidays__lags,52,785781,58611,True,False,True,True,False,True,0.1507256108860402,748.834792195511,0.8813799835127142,10.85880799998995
xgboost,google_trends__unemployment__holidays__lags,44,785781,58611,False,True,True,True,False,True,0.1512860715925172,744.1803489526642,0.8848538608120515,10.439401599927804
xgboost,unemployment__holidays__lags,43,785781,58611,False,False,True,True,False,True,0.1514311466457018,738.1346328578367,0.8864673133294116,9.253188900067473
xgboost,weather__holidays__lags,51,785781,58611,True,False,False,True,False,True,0.1518683713045906,737.7171592490463,0.8842390113284936,8.906774299917743
xgboost,weather__lags,48,785781,58611,True,False,False,False,False,True,0.1519777867591224,742.5411536877398,0.8837468044410745,13.457117500016466
xgboost,weather__google_trends__holidays__lags,52,785781,58611,True,True,False,True,False,True,0.1523927771471666,733.8438057486918,0.8851068671852534,10.966638299985789
xgboost,weather__google_trends__unemployment__lags,50,785781,58611,True,True,True,False,False,True,0.1525319009262822,740.1256774458724,0.8843657096088556,14.003204999957234
xgboost,weather__unemployment__holidays__promo_weather__lags,55,785781,58611,True,False,True,True,True,True,0.1525712563339774,746.6011356131755,0.8809712530049361,13.047472200007178
xgboost,weather__google_trends__unemployment__holidays__lags,53,785781,58611,True,True,True,True,False,True,0.1526523686553949,742.89478775209,0.8829360437160026,9.00930219993461
xgboost,unemployment__lags,40,785781,58611,False,False,True,False,False,True,0.1530996979103499,733.7745915071353,0.8876707524212627,9.195989100029692
xgboost,weather__google_trends__promo_weather__lags,52,785781,58611,True,True,False,False,True,True,0.1535888961173489,737.7293027052627,0.8849168813166159,14.778181699919514
xgboost,weather__google_trends__holidays__promo_weather__lags,55,785781,58611,True,True,False,True,True,True,0.1538422213385453,754.5368556184559,0.8800939363459024,14.4504613999743
xgboost,weather__holidays__promo_weather__lags,54,785781,58611,True,False,False,True,True,True,0.1538952268884476,752.6188850892922,0.881173949387988,12.038356399978513
xgboost,weather__google_trends__unemployment__holidays__promo_weather__lags,56,785781,58611,True,True,True,True,True,True,0.1545796693676508,752.1523573137151,0.8799992695988976,9.623381500015968
xgboost,unemployment__holidays,40,785781,58611,False,False,True,True,False,False,0.1568711942148467,723.6003728721015,0.8940846620810793,49.30929699994158
xgboost,weather__unemployment__promo_weather__lags,52,785781,58611,True,False,True,False,True,True,0.1576015220656147,752.8021367707264,0.8808407735633567,14.261218499974348
xgboost,holidays,39,785781,58611,False,False,False,True,False,False,0.1581468228974764,728.9436798046238,0.8904239323640353,43.340429500094615
xgboost,google_trends__unemployment__holidays,41,785781,58611,False,True,True,True,False,False,0.1587851147750341,725.5907402251402,0.8934294248514603,69.3789571999805
xgboost,google_trends__holidays,40,785781,58611,False,True,False,True,False,False,0.1596969209917086,730.6031580781785,0.892041337903116,62.42093899997417
xgboost,weather__holidays__promo_weather,51,785781,58611,True,False,False,True,True,False,0.1617979184655681,745.2419326422176,0.8845588317231903,59.85716200002935
xgboost,weather__google_trends__unemployment__holidays,50,785781,58611,True,True,True,True,False,False,0.1651515385771048,758.4691880731147,0.8813093809731725,47.26174640003592
xgboost,weather__holidays,48,785781,58611,True,False,False,True,False,False,0.1669367961174669,766.1657667706586,0.8749004338756469,60.00396250002086
xgboost,weather__google_trends__holidays,49,785781,58611,True,True,False,True,False,False,0.1684928994121645,771.2975326095248,0.8729728078007756,50.471797300037
xgboost,weather__unemployment__holidays__promo_weather,52,785781,58611,True,False,True,True,True,False,0.1692238882083698,769.3514320852692,0.873624989027015,56.26209700002801
xgboost,weather,45,785781,58611,True,False,False,False,False,False,0.1714319132350928,775.4745789589545,0.8806556318027163,62.33349789993372
xgboost,weather__google_trends__unemployment__holidays__promo_weather,53,785781,58611,True,True,True,True,True,False,0.1737910301797343,774.7067830293262,0.8689150342904903,54.31792950001545
xgboost,weather__google_trends,46,785781,58611,True,True,False,False,False,False,0.1743178711919903,788.746099014596,0.8762810112667949,51.6430441000266
xgboost,weather__google_trends__promo_weather,49,785781,58611,True,True,False,False,True,False,0.1749775913244838,793.879041665342,0.8767977938464854,50.43557640002109
xgboost,weather__google_trends__holidays__promo_weather,52,785781,58611,True,True,False,True,True,False,0.1756650814928593,785.5416747028424,0.8621501151374349,55.21905780001544
xgboost,weather__unemployment__promo_weather,49,785781,58611,True,False,True,False,True,False,0.1775799370744923,796.0094770698465,0.8756710308819387,60.35409120004624
xgboost,weather__google_trends__unemployment,47,785781,58611,True,True,True,False,False,False,0.1790358105873613,788.0741794928073,0.8778758096217127,60.029688099981286
xgboost,weather__unemployment,46,785781,58611,True,False,True,False,False,False,0.1793107542123173,800.0058254766464,0.8759048889528853,50.50443539989647
xgboost,weather__google_trends__unemployment__promo_weather,50,785781,58611,True,True,True,False,True,False,0.1859609919061884,819.2607982590134,0.8686678425830849,49.265361799974926
xgboost,base,36,785781,58611,False,False,False,False,False,False,0.193033295710205,831.5776883355852,0.8666294733624974,35.5845484000165
xgboost,weather__unemployment__holidays,49,785781,58611,True,False,True,True,False,False,0.1940032060939565,861.4915955669734,0.8474250508574922,28.70900039991829
xgboost,unemployment,37,785781,58611,False,False,True,False,False,False,0.1946878450774362,833.4516591232208,0.8686117986524651,43.1898349999683
xgboost,google_trends__unemployment,38,785781,58611,False,True,True,False,False,False,0.1974931287626475,835.2851896552696,0.8675842190328809,58.41524839994963
xgboost,google_trends,37,785781,58611,False,True,False,False,False,False,0.2016735446917405,858.0138848529243,0.8580280997048266,34.80274249997456
xgboost,weather__promo_weather,48,785781,58611,True,False,False,False,True,False,0.2025241726929625,878.5956045113236,0.8505797531873813,22.04719630000181
